code_uic,cp,a2021,a2020,2019,a2018,a2017,a2016,a2015
87595736,24620,12349,10521,20871,17280,21489,22584,21824
87713115,21150,183653,170280,209064,199605,215028,195231,208438
87481259,44580,19497,15453,20176,14809,13334,11809,7070
87276238,95190,1272141,773295,1461270,1539584,1618916,1674500,1724995
87113852,93320,1601698,2488926,1701182,1683059,1673494,1629471,1580346
87746826,74400,5194,4392,5418,6842,6363,5002,5497
87576181,41200,557,276,309,36,76,594,2303
87611111,31360,551,517,312,273,867,1146,1710
87295790,59620,2621,2544,3422,2959,2184,1752,1661
87287102,59260,582,532,1207,1274,1447,1466,1311
87734442,63190,62499,58553,85008,74855,80947,82637,85063
87575274,86240,11914,8284,9088,6316,5552,4968,5478
87223263,59777,6885505,5243137,12309007,12215918,13197651,12350098,12454880
87574335,37530,9055,7270,6352,6059,7245,7486,7109
87592022,87100,16405,11896,18657,13720,19482,18413,18741
87214502,67380,61224,51849,69740,61627,63737,78643,78967
87345041,62800,33095,33409,52898,47261,46384,36854,37700
87571471,37600,239911,245235,289698,275147,268036,277853,280681
87313049,80330,409753,356867,594592,549207,575110,558108,585274
87194274,54260,59800,38069,56106,45700,53746,54140,73542
87194001,54400,340492,329270,588051,574973,600979,557471,539197
87345033,62750,5819,7080,18290,13253,13300,10081,9863
87276253,95380,3739057,919807,2253078,2235303,2232729,2183957,2127635
87295535,59720,1683,2513,4365,3192,3810,4065,4706
87721423,69380,309166,233958,378829,337940,408359,378954,388852
87394015,28110,14457,12514,20486,23380,25277,23957,25563
87172189,8440,16835,16421,15942,17542,21534,20465,20192
87141150,54300,899712,740493,1065322,1021284,1043720,997234,1049757
87672741,64660,1490,1443,2048,1201,1854,851,0
87214650,67130,144287,133813,146189,164963,190586,189235,198824
87185595,70300,19894,19999,19251,21188,25898,28143,29914
87282624,69007,1404298,1021862,1476601,1071943,969865,793400,738648
87721159,69005,1587077,1374666,1990966,1792549,1826738,1623597,1482615
87281873,75010,27478179,13462720,43016926,44197645,45366168,45730527,45905097
87400986,51170,17061,15304,14861,17563,24648,25897,19094
87386425,78600,883537,4048033,8594609,8358173,8149225,7842005,7549498
87411256,76770,61899,58505,90023,80870,88424,92259,94757
87751321,4100,90003,55457,113630,138127,172249,157544,164020
87317206,62990,1346,1,0,15,165,571,711
87116665,60890,83196,62353,114428,105590,104482,98799,90117
87213603,67500,51480,41225,64140,63047,63044,69455,70414
87296095,2250,48857,44179,51637,49286,53603,53784,56228
87382465,78160,1725946,989390,1978907,2099153,2242841,2347923,2262911
87694182,71710,24,113,89,156,96,220,275
87734871,15500,32339,24066,30084,29593,31636,30153,36218
87645168,15400,7095,3962,7724,11296,12471,11859,12099
87342121,62670,298,480,1088,1386,1009,1605,1373
87574244,41500,69,32,58,317,119,100,131
87296434,2700,9494,6485,6698,8141,8656,8732,10404
87713701,71310,7720,6217,9278,7265,7111,6259,7124
87191338,57940,3597,3651,4874,4727,5608,6276,6867
87393082,92190,1323040,1222423,2893671,2940191,2996579,2998119,2982684
87713560,21190,7705,10755,18328,16723,18019,15772,16038
87723585,1800,677700,575199,899254,851864,892663,844249,849722
87775098,30540,2728,1989,4354,3206,3753,3213,2195
87313700,60112,4557,4098,5878,7516,7719,7829,8988
87342030,80300,16002,12158,20130,19214,19506,17402,17180
87747329,38430,756250,607901,961138,829115,932855,903412,939962
87747691,38430,184802,150195,254519,204191,179604,137525,137287
87743591,39360,1809,604,611,934,1968,2072,1452
87214577,67120,1409315,1246146,1616418,1584646,1638369,1596725,1583824
87287128,59000,99,452,2950,3589,3407,3484,2826
87641472,63240,7540,5245,7204,6882,6797,7479,11683
87784793,66210,70231,49246,77862,82084,86734,88502,92439
87171355,2220,0,0,1169,1969,3223,5014,6746
87615369,31380,191771,164003,175940,147310,164396,140647,135363
87612010,31000,48367,32166,36930,22343,26320,26942,26387
87396044,72380,16647,12385,29840,35995,35712,31959,29633
87171256,51500,0,1355,2655,2609,3307,3668,3103
87184523,25200,565222,497343,674765,605311,673070,619209,661564
87338590,6190,0,88,340,5592,13295,11709,11956
87682302,77130,3691637,1832996,3077612,3026973,2986171,2886952,2782996
87393892,78490,386637,214672,644638,647541,658762,652624,645654
87618207,31450,3822,2656,3826,2600,3700,3845,3554
87688887,34000,1643035,1282317,1150191,519425,0,0,0
87317164,62170,20736,2242,2462,2112,29338,51489,57554
87316406,60134,3603,4384,5769,4745,5019,4999,5185
87574855,41400,89253,67643,89033,79629,84078,76917,74869
87116400,77450,54070,23320,50924,54662,58286,61455,64462
87276493,95560,1315810,768419,1492565,1571578,1604400,1579430,1547828
87478537,53150,16191,12317,29501,40391,45273,43528,39516
87411801,76710,148494,134173,174361,171983,175120,179482,186933
87715441,39400,27532,20859,26948,22414,27014,26145,26514
87411439,76750,23328,19899,23642,21282,26118,28912,33072
87116087,77720,392896,257580,455346,447454,444280,431778,417233
87391300,25660,3871,5818,8286,10191,10453,10325,11412
87116244,77163,135903,75184,154778,141533,130839,118481,107069
87184424,90120,7125,5663,5243,138,0,0,0
87718833,39330,138462,104067,110631,102424,128346,138092,146418
87171298,51140,91852,80902,73393,65407,77331,82000,83049
87182055,68200,177488,148729,229479,210550,217930,209778,218393
87472639,68200,0,0,0,0,0,0,0
87645481,15300,16795,11931,13215,16401,18840,18669,21430
87595298,24400,172763,141433,242059,196349,208577,188897,192306
87214585,67190,269656,244589,317546,305163,323407,306121,299946
87611525,9110,5259,1401,3473,2318,2514,2448,2236
87313668,60110,901149,731637,1086110,1006113,1121708,1071806,1004713
87575175,86530,24025,20569,26364,23428,25714,28130,30103
87116095,77370,890213,474881,1070109,1052937,1044995,1013938,979933
87313486,80190,70962,51058,72574,61864,66003,63239,66017
87381020,75017,2059764,2230261,4692161,4984005,5342068,5600997,5844164
87712182,21800,2260,3340,5242,7052,29492,29320,29090
87396028,72190,8866,6595,10593,7929,8107,6604,7769
87597070,36100,14712,9523,9799,7259,6579,6793,7550
87213256,67110,189748,132099,160850,161319,160698,163979,161539
87595512,24330,6099,6334,10885,7633,8215,7985,8202
87118190,10400,190394,154928,236647,212809,231987,230479,242112
87684274,45290,51534,33275,48845,43458,45666,46067,44440
87286609,59310,515,1100,4336,4315,5098,4732,4678
87396374,72430,22315,17647,54586,73388,77124,77008,75983
87342139,62390,69560,60420,95971,89094,99258,97624,109714
87192435,54890,6746,4173,5287,5740,8123,8982,11298
87574319,41150,217042,169716,215927,255449,288300,282984,281944
87681346,91130,1691900,1131701,2527170,2521689,2526178,2482220,2425727
87286583,59310,979975,899977,1255646,1154080,1195487,1140288,1165755
87753707,13660,18996,12057,14277,9489,9723,9611,9142
87546200,94310,1227173,912297,1802642,1825457,1846200,1835153,1814964
87672253,64300,256762,169870,223299,188896,212692,197993,214120
87671313,65380,149,53,198,122,607,510,954
87784868,66340,418,360,422,335,263,273,615
87116020,77330,1914692,1129670,2409248,2409568,2429288,2396593,2353072
87694687,71600,234395,195478,188739,146238,153800,152375,171696
87271486,93420,1530324,1010255,2790979,2749960,2734326,2661353,2582285
87734194,63270,50538,47895,63985,55894,61344,59023,62453
87597724,23140,295,241,343,177,233,344,231
87753285,13730,110104,89100,149364,139931,169168,166098,201498
87411272,76570,181265,163127,227063,199895,203480,203385,215260
87756791,6440,9254,8434,15368,9778,11081,10098,8002
87756783,6440,4871,6534,11103,8759,9552,7515,6977
87321745,44600,46245,39787,50651,33875,34382,34666,30736
87342550,62550,7607,2820,19542,18796,22198,23632,21222
87581751,33600,971557,749776,1228140,1037838,984737,877485,931699
87393652,91360,202745,138206,382123,381720,384398,378563,371331
87592428,87510,734,268,275,332,461,411,131
87313106,80310,68856,58943,67126,63106,66180,70002,70293
87141556,54160,268,181,0,0,270,1000,1906
87755389,83790,31792,17198,23944,19002,21896,20858,18054
87473272,22130,12104,8772,11118,11125,16243,18095,18489
87784785,66210,542,310,388,419,469,644,638
