code_uic_complet,nom_gare,total_voyageurs_non_voyageurs_2015,total_voyageurs_non_voyageurs_2016,total_voyageurs_non_voyageurs_2017,total_voyageurs_non_voyageurs_2018,total_voyageurs_non_voyageurs_2019,total_voyageurs_non_voyageurs_2020,total_voyageurs_non_voyageurs_2021
87192088,Woippy,111545,125284,146477,150580,174202,99323,121574
87144121,Xertigny,1919,1350,978,1036,1185,871,916
87141549,Xeuilley,4643,4546,3770,1418,1154,270,0
87484113,Écouflant,1380,1202,209,0,0,0,0
87171553,Épernay,804083,759377,796352,724461,806159,493822,611236
87545228,Épinay-sur-Orge,2902925,2889983,2860910,2779352,2707994,955407,2095084
87413732,Épouville,2367,2218,1808,1542,1772,895,1125
87381418,Éragny - Neuville,746705,755133,833310,901785,978365,439717,742307
87545145,Étréchy,775908,762887,746860,715653,690936,298309,560909
87317362,Abbeville,924890,886684,914998,866250,923612,616779,793538
87316745,Acheux - Franleu,898,308,104,235,2,0,0
87381657,Achères Ville,3389509,3454567,3497615,3478859,3468208,1597517,653109
87751404,Aix-en-Provence,1076187,1061802,1176893,818241,576965,201864,294057
87731885,Alleyras,510,598,812,1013,1310,949,1447
87113878,Allée de la Tour Rendez-Vous,690917,683635,673383,651602,630008,940572,687434
87172858,Anchamps,6400,5123,6235,6979,7376,5694,5985
87715102,Andelot-en-Montagne,9918,9288,6806,4050,5782,4698,9982
87286856,Annappes,883,641,811,1285,1638,882,1388
87746008,Annecy,2794841,2771156,2988615,2761473,2917596,1953611,2659257
87721324,Anse,462190,457204,496552,496428,555189,355418,429936
87191387,Anzeling,791,657,744,1191,1591,1560,1789
87191643,Apach,1066,1059,1105,1164,907,369,294
87784231,Argelès-sur-Mer,156551,133172,157754,129365,147155,108200,155365
87746859,Argentière,16513,15678,13277,15238,14463,12408,12758
87345421,Arleux,51057,47584,45719,39776,39865,22092,23159
87396549,Arnage,19029,15575,17688,14550,12703,7963,8831
87672162,Assat,236,461,168,151,273,559,586
87613075,Assier,10321,10561,9895,7528,8883,7173,10281
87545251,Athis-Mons,1625618,1660228,1687816,1680397,1684717,570450,1064434
87751750,Aubagne,996037,1122626,1295649,1246720,1277655,845743,1126046
87734111,Aubiat,4419,4849,6420,7945,8809,5053,5672
87342246,Aubigny-en-Artois,63351,60607,58250,48982,50207,39296,21048
87645002,Aurillac,200801,178963,193417,171189,150218,101308,144875
87171579,Avenay-Val-d'Or,24502,21039,15908,12786,18793,17236,22380
87574442,Azay-sur-Cher,12858,13090,13521,13004,13599,8865,13552
87590349,Babinière,121229,134119,143522,116372,81461,43160,40701
87141416,Baccarat,181420,167642,161851,146052,160508,108566,126362
87144147,Bains-les-Bains,4001,3918,3047,2384,2801,1965,1788
87726869,Balbigny,137643,131532,121001,97226,104699,72773,89157
87571604,Ballan-Miré,38356,33804,36096,38016,44366,28881,25746
87783324,Banassac - La Canourgue,4541,4094,4045,3646,3164,2556,3286
