datasetid,recordid,total_voyageurs_non_voyageurs_2018,total_voyageurs_non_voyageurs_2021,total_voyageurs_non_voyageurs_2015,segmentation_drg,total_voyageurs_2020,total_voyageurs_non_voyageurs_2016,total_voyageurs_2018,totalvoyageurs2017,total_voyageurs_non_voyageurs_2017,total_voyageurs_non_voyageurs_2019,code_uic_complet,code_postal,total_voyageurs_non_voyageurs_2020,total_voyageurs_2019,total_voyageurs_2021,total_voyageurs_2016,total_voyageurs_2015,nom_gare,record_timestamp
frequentation-gares,f195e00dfaa839fc54d46681dd543ad094bca67e,1492,4119,1127,c,3271,1134,1492,1583,1583,2538,87595157,24460,3271,2538,4119,1134,1127,Agonac,2022-11-18T15:48:22.919+01:00
frequentation-gares,04d6b23845632ffb91c45ed61aeecf818c295164,18670,32989,0,c,24987,266,18670,14513,14513,31170,87485193,17290,24987,31170,32989,266,0,Aigrefeuille le Thou,2022-11-18T15:48:22.919+01:00
frequentation-gares,7eeceb53a034295fc0528cf359824cadbaf5c9ad,76441,65472,67365,c,62936,69078,76441,77759,77759,80418,87741256,73220,62936,80418,65472,69078,67365,Aiguebelle,2022-11-18T15:48:22.919+01:00
frequentation-gares,213411a45c978accffbd1b75410b27ecf35322f3,123942,144943,143798,b,93929,136869,99154,109757,137197,138388,87313221,80250,117411,110710,115954,109495,115038,Ailly-sur-Noye,2022-11-18T15:48:22.919+01:00
frequentation-gares,6ae53cd686995e33cdde4090b771417e1159e194,445,6335,86,c,3752,159,445,230,230,1034,87775833,30470,3752,1034,6335,159,86,Aimargues,2022-11-18T15:48:22.919+01:00
frequentation-gares,17c270a537994dd13bf147e751f65b659648ca0c,198,206,123,c,182,116,198,132,132,235,87783654,48190,182,235,206,116,123,Allenc,2022-11-18T15:48:22.919+01:00
frequentation-gares,0f8dc2b2280b22cd61a9f7fa972175df47e658bd,5983,6321,7463,c,5665,7700,5983,6623,6623,9145,87743146,1500,5665,9145,6321,7700,7463,Ambronay - Priay,2022-11-18T15:48:22.919+01:00
frequentation-gares,f136a767c15b53b6651b68cf918e389ae3802f42,1343249,1199406,1374126,b,838327,1365785,1168627,1223516,1406341,1442437,87743716,1500,963595,1254920,1043483,1188233,1195489,Ambérieu-en-Bugey,2022-11-18T15:48:22.919+01:00
frequentation-gares,fbd5dc53b75d2fa6b9ab0112194383acac71cb24,7087454,6391124,7195919,a,3694011,7066833,5244716,5447333,7361261,7244237,87313874,80017,4991907,5360735,4729432,5229456,5324980,Amiens,2022-11-18T15:48:22.919+01:00
frequentation-gares,85f227f1580588995907cd0300159a66a2f8803d,345515,306500,361664,b,206265,372581,276412,317836,397295,396420,87721035,69550,257831,317136,245200,298064,289331,Amplepuis,2022-11-18T15:48:22.919+01:00
frequentation-gares,06d0af39b8227052e39a8ba1599b02108fd9d575,50010,49721,53552,c,37560,50233,50010,49942,49942,50264,87192419,57130,37560,50264,49721,50233,53552,Ancy-sur-Moselle,2022-11-18T15:48:22.919+01:00
frequentation-gares,91e88fa8684c01bd78e8d673b3863a85858a6fb3,8265338,7173793,8325666,a,3433325,8258536,5372470,5647027,8687733,8830401,87484006,49100,5282039,5739760,4662966,5368048,5411683,Angers Saint-Laud,2022-11-18T15:48:22.919+01:00
frequentation-gares,756f702897a72db08919bed798304f37adbbe804,42489,50805,40206,c,46502,38450,42489,40409,40409,58138,87582726,33640,46502,58138,50805,38450,40206,Arbanats,2022-11-18T15:48:22.919+01:00
frequentation-gares,89f97dc15942a48c5efae4719b297d9792704f02,43376,56289,43531,c,47438,47098,43376,50233,50233,55544,87718841,25610,47438,55544,56289,47098,43531,Arc-et-Senans,2022-11-18T15:48:22.919+01:00
frequentation-gares,ac9412fc0acdeb380182a4b11f1651791d66fc71,42045,47457,20319,c,35506,15652,42045,19702,19702,56897,87580340,13007,35506,56897,47457,15652,20319,Arenc Euroméditerranée,2022-11-18T15:48:22.919+01:00
frequentation-gares,a1fc01b23eaeaa6d57383d6b6aa6cac51c79320c,5591,4360,4315,c,3870,4859,5591,5917,5917,4562,87671479,40110,3870,4562,4360,4859,4315,Arengosse,2022-11-18T15:48:22.919+01:00
frequentation-gares,975e4ca82a52c05571a815e43ab03e3a4da48eae,343060,320627,387799,b,175602,364748,274448,298107,372634,368363,87444539,61200,219503,294691,256502,291798,310239,Argentan,2022-11-18T15:48:22.919+01:00
frequentation-gares,78f52ea6603558b408bc2a8b5d17ee9e08ee4dda,16094786,14527144,14929217,b,8206484,15388969,16094786,15608674,15608674,16219640,87381848,95100,8206484,16219640,14527144,15388969,14929217,Argenteuil,2022-11-18T15:48:22.919+01:00
frequentation-gares,31bd8f7753294e5e0f5d6a0fd7d666a307a6b19c,150582,120236,147483,b,87107,155262,120466,126380,157975,159773,87281121,59285,108883,127818,96189,124209,117986,Arnèke,2022-11-18T15:48:22.919+01:00
frequentation-gares,fd04b0b530bb809e35bbd1c64f07f4a07931a728,1714853,1295988,1635441,b,812586,1677901,1714853,1714359,1714359,1725668,87545467,91290,812586,1725668,1295988,1677901,1635441,Arpajon,2022-11-18T15:48:22.919+01:00
frequentation-gares,65016bd360edef6259986d0c76fe6a61cb679631,33858,45644,41904,c,30597,38017,33858,40928,40928,42665,87672212,64170,30597,42665,45644,38017,41904,Artix,2022-11-18T15:48:22.919+01:00
frequentation-gares,040d0eef0c4b450b6774e0f58aa4f9ccf2a08d32,37485,35598,43701,c,26500,37278,37485,42656,42656,51427,87734251,43360,26500,51427,35598,37278,43701,Arvant,2022-11-18T15:48:22.919+01:00
frequentation-gares,18de353c97ba09bc19db6bba44aec0ee21ca588c,18741,12672,14630,c,9877,14407,18741,17590,17590,16603,87286864,59650,9877,16603,12672,14407,14630,Ascq,2022-11-18T15:48:22.919+01:00
frequentation-gares,211f5c47f0b1b3e1f40966559b2205eb19fa8096,30075,38410,16770,c,28303,19924,30075,25566,25566,39025,87491233,33240,28303,39025,38410,19924,16770,Aubie - Saint-Antoine,2022-11-18T15:48:22.919+01:00
frequentation-gares,44063ddfb905cf8c7460d01b3a914a77d99d080e,5550,4501,6528,c,4316,5577,5550,5790,5790,5717,87613224,12110,4316,5717,4501,5577,6528,Aubin,2022-11-18T15:48:22.919+01:00
frequentation-gares,4836d8e69eee048919d196675239d95f40f0b987,83,830,46,c,5,32,83,3,3,126,87316604,62140,5,126,830,32,46,Aubin-Saint-Vaast,2022-11-18T15:48:22.919+01:00
frequentation-gares,cabf30bbbbdf21a635c17e336cdeb7534b96574a,8009,7691,14703,c,6224,12081,8009,10477,10477,10154,87562421,63510,6224,10154,7691,12081,14703,Aulnat Aéroport,2022-11-18T15:48:22.919+01:00
frequentation-gares,8c0d6ac6ae2782841273a1144785bab61b9356df,1693,2173,1926,c,865,1727,1693,2295,2295,951,87313767,76390,865,951,2173,1727,1926,Aumale,2022-11-18T15:48:22.919+01:00
frequentation-gares,f1c76d8ebfa549d91e786de6383a8ef637ca490f,7100,6535,7840,c,5641,7178,7100,7754,7754,8036,87783266,48130,5641,8036,6535,7178,7840,Aumont-Aubrac,2022-11-18T15:48:22.919+01:00
frequentation-gares,fccc6e23817aca63ac9000900300e2b1fb42ff3d,36833,37849,39727,c,30046,36096,36833,41444,41444,45473,87683789,89200,30046,45473,37849,36096,39727,Avallon,2022-11-18T15:48:22.919+01:00
frequentation-gares,1438a555e57c814d569e05d05878946a7b5bb4d9,839928,418488,906404,b,436310,891938,839928,874140,874140,809171,87381046,75016,436310,809171,418488,891938,906404,Avenue Henri Martin,2022-11-18T15:48:22.919+01:00
frequentation-gares,6e3371bde82f419ad210f56c278e889190b9f7f6,68712,48402,87362,c,35495,76609,68712,84104,84104,66861,87611533,9110,35495,66861,48402,76609,87362,Ax-les-Thermes,2022-11-18T15:48:22.919+01:00
frequentation-gares,a36eb963b3f79990b6604b52550baaea6658d115,610,600,540,c,538,556,610,601,601,692,87783647,48190,538,692,600,556,540,Bagnols - Chadenet,2022-11-18T15:48:22.919+01:00
frequentation-gares,1008e12f82519980b9e2740adc73755b83c1ae1a,963526,873202,975126,b,764001,975365,944255,998316,1018690,1042449,87286179,59270,779593,1021600,855738,955858,955623,Bailleul,2022-11-18T15:48:22.919+01:00
frequentation-gares,9caf911f9182ad03fe0f7866c25bd6ac7850128b,174751,117114,175177,b,86048,176985,139801,145840,182301,179015,87182113,68870,107560,143212,93691,141588,140142,Bartenheim,2022-11-18T15:48:22.919+01:00
frequentation-gares,04e2208b2732f89b89ddb412728e87912a49600b,0,659,0,c,95,0,0,0,0,0,87699223,41200,95,0,659,0,0,Base Aérienne,2022-11-18T15:48:22.919+01:00
frequentation-gares,e44860f148e054dd7e8a86c70b79361e0db95c07,2074,145,2037,c,193,1730,2074,1296,1296,981,87175133,52170,193,981,145,1730,2037,Bayard,2022-11-18T15:48:22.919+01:00
frequentation-gares,26a3f454eba96f767b9ef97d01ca3c2b99ce92cb,931467,1123893,942793,a,660529,899855,829006,901165,1012545,1065319,87673004,64100,742168,948134,1000265,800871,839085,Bayonne,2022-11-18T15:48:22.919+01:00
frequentation-gares,3b87918a28b8dba32f0f22724e411bfbc0562bc0,2191,5232,1292,c,3180,1828,2191,3080,3080,2990,87317610,62100,3180,2990,5232,1828,1292,Beau Marais,2022-11-18T15:48:22.919+01:00
frequentation-gares,93af3bad13625f6c61028d98556320ec5edb566d,7446,34642,9525,c,17161,8729,7446,9383,9383,6521,87775023,30300,17161,6521,34642,8729,9525,Beaucaire,2022-11-18T15:48:22.919+01:00
frequentation-gares,6cc173caf85e299558d3984960ab271c59a1f6dc,425956,412738,445464,b,243606,424299,336506,342444,433474,463248,87574160,45190,308362,365966,326063,335196,351917,Beaugency,2022-11-18T15:48:22.919+01:00
frequentation-gares,f6c3cd18982399ab44b9399058f83975d8402b0b,13543,7841,12389,c,6269,12102,13543,14013,14013,12520,87387183,27170,6269,12520,7841,12102,12389,Beaumont-le-Roger,2022-11-18T15:48:22.919+01:00
frequentation-gares,364684d78553e5d141a0f87287445ddba2640320,294931,315190,223526,b,189370,252580,235945,220784,275980,343921,87582700,33640,236712,275136,252152,202064,178820,Beautiran,2022-11-18T15:48:22.919+01:00
frequentation-gares,0dd9d067e9fd279d6f80a17808ae56bf2831e960,12640,16543,525,c,12252,15975,12640,18010,18010,16872,87672774,64490,12252,16872,16543,15975,525,Bedous,2022-11-18T15:48:22.919+01:00
frequentation-gares,9a40b79dd54a1f3a8f702fd89180b3260905339e,1258503,1135358,1449299,b,775926,1324520,1006802,1146193,1432741,1405671,87184002,90000,969907,1124537,908286,1059616,1159439,Belfort,2022-11-18T15:48:22.919+01:00
frequentation-gares,463aa053561f3223232cc0edf7a62234f910c940,965274,626536,952465,a,360875,973258,733608,791713,1041728,973412,87300822,90400,474836,739793,476167,739676,723873,Belfort - Montbéliard TGV,2022-11-18T15:48:22.919+01:00
frequentation-gares,1fe35cb8a4a6d26915b090b53cff20a92ee023f1,1346821,963958,1360814,b,561566,1369605,1346821,1370573,1370573,1326402,87393116,92360,561566,1326402,963958,1369605,1360814,Bellevue,2022-11-18T15:48:22.919+01:00
frequentation-gares,b9be7dcb26789d25dd9a149fbaf8f9b0bde61a21,7242,2896,10094,c,3663,9965,7242,9336,9336,7409,87595876,24170,3663,7409,2896,9965,10094,Belvès,2022-11-18T15:48:22.919+01:00
frequentation-gares,c4262fd2d07f430485c63ec3ac7d2a41750769b1,12622,16544,7331,c,17995,11735,12622,13874,13874,16781,87576447,18520,17995,16781,16544,11735,7331,Bengy-sur-Craon,2022-11-18T15:48:22.919+01:00
frequentation-gares,385623dd1c1e09489996f6861d98e0b2b36f342f,17711,7392,19691,c,8730,15493,17711,18551,18551,19722,87295808,59145,8730,19722,7392,15493,19691,Berlaimont,2022-11-18T15:48:22.919+01:00
frequentation-gares,67a6579878bfb87a8c1ccc128b744a01bfb765a2,3502,3561,5641,c,3434,4560,3502,3521,3521,3894,87141424,54120,3434,3894,3561,4560,5641,Bertrichamps,2022-11-18T15:48:22.919+01:00
frequentation-gares,70e257cf7b5dab83864d62122e71305372011708,76137,38644,96710,c,52359,83461,76137,92077,92077,80798,87718015,25000,52359,80798,38644,83461,96710,Besançon Mouillère,2022-11-18T15:48:22.919+01:00
frequentation-gares,e8cb6ba122bc11bfa91b3069d4bdadcd704da6b0,28137619,10119704,28099826,b,11758713,28385788,28137619,28540419,28540419,27828914,87328328,75013,11758713,27828914,10119704,28385788,28099826,Bibliothèque François Mitterrand,2022-11-18T15:48:22.919+01:00
frequentation-gares,cd6fc49274c7a707d218f26277e1110798c4e4f6,32939,30522,37642,c,29187,33589,32939,35640,35640,36084,87182576,68620,29187,36084,30522,33589,37642,Bitschwiller-lès-Thann,2022-11-18T15:48:22.919+01:00
